latitude,longitude
-2.5458115851808913,-44.17916175336958
-2.539479245004051,-44.179165755262396
-2.5331469041987718,-44.17916974715634
-2.52681456276662,-44.179173729051634
-2.520482220709155,-44.17917770094853
-2.5141498780279417,-44.17918166284727
-2.5078175347245435,-44.17918561474808
-2.5014851908005227,-44.179189556651224
-2.495152846257443,-44.17919348855691
-2.4888205010968676,-44.1791974104654
-2.4824881553203584,-44.17920132237692
-2.4761558089294806,-44.17920522429171
-2.4698234619257957,-44.17920911621
-2.4634911143108686,-44.17921299813203
-2.545807539867409,-44.17286551229906
-2.5394752097653805,-44.17286954487991
-2.533142879034821,-44.172873567385196
-2.5268105476772935,-44.17287757981518
-2.5204782156943604,-44.172881582170085
-2.5141458830875854,-44.172885574450156
-2.5078135498585334,-44.17288955665565
-2.5014812160087656,-44.17289352878679
-2.4951488815398473,-44.17289749084382
-2.4888165464533394,-44.17290144282698
-2.4824842107508083,-44.172905384736524
-2.476151874433815,-44.17290931657267
-2.469819537503924,-44.17291323833567
-2.545803463651528,-44.16656928130435
-2.5394711437012747,-44.16657334457298
-2.533138823122395,-44.16657739768938
-2.5268065019164534,-44.166581440653786
-2.520474180085012,-44.16658547346646
-2.5141418576296353,-44.166589496127635
-2.5078095345518867,-44.166593508637554
-2.5014772108533303,-44.16659751099645
-2.495144886535529,-44.16660150320459
-2.4888125616000467,-44.1666054852622
-2.4824802360484473,-44.166609457169514
-2.4761479098822945,-44.16661341892679
-2.5457993565334953,-44.16027306046211
-2.5394670468119784,-44.16027715441828
-2.5331347364617387,-44.160281238145544
-2.526802425484343,-44.16028531164415
-2.5204701138813523,-44.16028937491434
-2.5141378016543325,-44.16029342795637
-2.5078054888048467,-44.16029747077047
-2.4951408612447312,-44.1603055257159
-2.4888085465372294,-44.1603095378477
-2.4824762312135173,-44.16031353975256
-2.4761439152751583,-44.16031753143071
-2.469811598723717,-44.1603215128824
-2.5457952185135593,-44.15397684984902
-2.5394629190977387,-44.153980974492484
-2.5331306190531007,-44.15398508883037
-2.526798318381209,-44.153989192862916
-2.5204660170836286,-44.15399328659039
-2.514133715161923,-44.15399737001303
-2.5078014126176567,-44.15400144313107
-2.495136805667696,-44.15400955845439
-2.48880450126513,-44.15401360066016
-2.482472196246259,-44.15401763256231
-2.4761398906126484,-44.1540216541611
-2.469807584365861,-44.15402566545677
-2.545791049591969,-44.14768064954176
-2.5394587605588055,-44.14768480487227
-2.5331264708967276,-44.14768894982052
-2.5267941806073004,-44.14769308438677
-2.5204618896920876,-44.14769720857127
-2.5141295981526537,-44.14770132237427
-2.5077973059905627,-44.14770542579601
-2.501465013207379,-44.147709518836756
-2.488800425783993,-44.147717673776214
-2.482468131146918,-44.14772173567542
-2.4761358358950076,-44.14772578719461
-2.469803540029828,-44.14772982833403
-2.4634712435529416,-44.14773385909391
-2.5457868497689766,-44.141384459617015
-2.5394545711954297,-44.14138864563431
-2.5331222919928713,-44.141392821192674
-2.526790012162866,-44.14139698629237
-2.5204577317069776,-44.14140114093365
-2.5141254506267723,-44.14140528511676
-2.507793168923814,-44.14140941884195
-2.5014608865996664,-44.14141354210948
-2.4951286036558957,-44.14141765491959
-2.4824640359157377,-44.14142584916855
-2.476131751122482,-44.141429930607885
-2.4697994657158593,-44.1414340015908
-2.463467179697437,-44.14143806211754
-2.539450351007865,-44.13509249685527
-2.5331180823417836,-44.13509670302351
-2.5267858130481575,-44.1351008986564
-2.520453543128552,-44.135105083754205
-2.514121272584531,-44.13510925831718
-2.5077890014176605,-44.13511342234557
-2.501456729629503,-44.13511757583963
-2.495124457221626,-44.13512171879962
-2.4824599105529668,-44.135129973118346
-2.4761276362953164,-44.1351340844776
-2.469795361424204,-44.13513818530377
-2.463463085941196,-44.135142275597104
-2.545778357419803,-44.12879211122171
-2.5331138419437194,-44.12880059538967
-2.5267815832634306,-44.128804821555505
-2.5204493239570622,-44.12880903710959
-2.5141170640261814,-44.128813242052175
-2.5077848034723518,-44.12881743638351
-2.501452542297139,-44.12882162010386
-2.495120280502109,-44.128825793213466
-2.488788018088826,-44.12882995571259
-2.4697912271551075,-44.12884237954956
-2.4634589622844643,-44.12884649960925
-2.5457740648941343,-44.12249595290451
-2.539441818161188,-44.12250023098064
-2.5331095707989344,-44.122504498367846
-2.526777322808937,-44.12250875506637
-2.5204450741927635,-44.12251300107647
-2.5141128249519773,-44.12251723639841
-2.5014483246028294,-44.122525674978824
-2.4951160734975995,-44.1225298782378
-2.488783821774018,-44.12253407080964
-2.469787062908822,-44.12254658440484
-2.4634548087274912,-44.122550734230636
-2.539437505502592,-44.1162041140384
-2.533105268907686,-44.1162084120347
-2.5267730316849377,-44.11621269926565
-2.5204407938359124,-44.11621697573152
-2.5141085553621743,-44.116221241432555
-2.5077763162652915,-44.116225496369026
-2.5014440765468278,-44.116229740541186
-2.495111836208349,-44.116233973949285
-2.488779595251421,-44.116238196593585
-2.4634506252705286,-44.11625497953789
-2.5331009362702352,-44.1099123364669
-2.5267687098916904,-44.10991665423002
-2.520436482886767,-44.10992096115139
-2.514104255257032,-44.109925257231275
-2.5077720270040516,-44.10992954246992
-2.50143979812939,-44.109933816867596
-2.4951075686346154,-44.10993808042456
-2.488775338521291,-44.10994233314107
-2.539428787716187,-44.1036119125274
-2.5330965728868433,-44.10361627174111
-2.526764357429456,-44.10362062003614
-2.5204321413455886,-44.103624957412755
-2.501435489350776,-44.10363790403473
-2.4951032707766543,-44.1036421977403
-2.488771051583884,-44.10364648052875
-2.533092178757774,-44.097320217934
-2.526759974298497,-44.09732459676068
-2.5204277692126396,-44.09732896459227
-2.501431150211245,-44.09734200211923
-2.4950989426347276,-44.09734632597314
-2.4887667344394613,-44.09735063883329
-2.4824345256270117,-44.09735494069994
-2.476102316198946,-44.097359231573336
-2.5204233664881825,-44.091032982766606
-2.514091171852169,-44.09103736998144
-2.507758976592606,-44.09104174612508
-2.5014267807110593,-44.09104611119775
-2.4950945842090957,-44.09105046519976
-2.4887623870882813,-44.09105480813133
-2.482430189350183,-44.09105913999276
-2.5394154798675093,-44.08472369234463
-2.5330832982636653,-44.08472814338248
-2.514086749688281,-44.084741429605046
-2.5077545655804254,-44.084745836049805
-2.4950901955000213,-44.084754615496784
-2.4887580095306063,-44.08475898849953
-2.539410982273935,-44.078427641146035
-2.5330788118991627,-44.07843212279139
-2.5267466408959334,-44.07843659321141
-2.507750124131171,-44.078449937122144
-2.501417950629781,-44.07845436264351
-2.4950857765077696,-44.07845877694089
-2.488753601766703,-44.07846318001454
-2.4824214264081483,-44.07846757186473
-2.5267421350927455,-44.07214061437624
-2.5204099747684388,-44.0721451040251
-2.501413490049223,-44.07215850516405
-2.4950813272326084,-44.07216294960871
-2.4887491637968355,-44.072167382753
-2.5014089991090755,-44.06586265898523
-2.4950768476748064,-44.065867133576916
